,sideefect
17251,immunology test abnormal
17252,candida osteomyelitis
17253,chyluria
17254,administration site scar
17255,blood thyroid stimulating hormone normal
17256,hypopharyngeal cancer
17257,urinary tract adhesions
17258,staphylococcal mediastinitis
17259,fibrin decreased
17260,endometriosis ablation
17261,photoonycholysis
17262,activation syndrome
17263,free haemoglobin
17264,dry gangrene
17265,breath sounds absent
17266,autonomic failure syndrome
17267,instillation site foreign body sensation
17268,renal failure acute
17269,anaemia of chronic disease
17270,prostatic abscess
17271,urinary nitrogen increased
17272,intellectual disability
17273,needle track marks
17274,diaphragmatic hernia
17275,immunodeficiency
17276,smear site unspecified abnormal
17277,stapedectomy
17278,eosinophil percentage increased
17279,clostridium colitis
17280,placental insufficiency
17281,fear of closed spaces
17282,ovarian cyst
17283,tuberculosis of eye
17284,ligament pain
17285,infected epidermal cyst
17286,meningitis toxoplasmal
17288,gastrooesophageal cancer
17289,increased steroid activity
17290,occult blood positive
17291,colitis herpes
17292,giardia test positive
17293,hyperviscosity syndrome
17294,hand repair operation
17295,proctoscopy
17296,cardiac discomfort
17297,hepatic artery occlusion
17298,atlantoaxial instability
17299,spinal support
17300,perihepatic abscess
17301,neutrophil percentage abnormal
17302,heat stroke
17303,congenital ovarian anomaly
17304,animal phobia
17305,hernia
17306,keratitis bacterial
17307,17-alpha-hydroxylase deficiency
17308,fungal retinitis
17309,pulmonary artery atresia
17310,laryngo-onycho-cutaneous syndrome
17311,extraocular muscle disorder
17312,nodal rhythm
17313,androgens decreased
17314,corneal implant
17315,lens implant
17316,acanthosis
17317,leukaemic infiltration extramedullary
17318,non-alcoholic steatohepatitis
17319,blood triglycerides
17320,amaurotic familial idiocy
17321,prostatic hypoplasia
17322,superior mesenteric artery syndrome
17323,hereditary disorder
17324,blood growth hormone abnormal
17325,vascular graft restenosis
17326,epididymal cyst
17327,atherosclerosis prophylaxis
17328,corneal degeneration
17329,intraocular pressure test
17330,lactic acidosis
17331,bone formation test abnormal
17332,strangulated hernia
17333,peritoneal dialysis complication
17334,muscle enzyme
17335,synovial sarcoma recurrent
17336,corneal epithelial wrinkling
17337,severe myoclonic epilepsy of infancy
17338,enteropathic spondylitis
17339,hepatitis neonatal
17340,neuron-specific enolase increased
17341,parasitic gastroenteritis
17342,groin pain
17343,broad ligament haematoma
17344,relaxation therapy
17345,shunt malfunction
17346,epidermal naevus syndrome
17347,cardiac perforation
17348,epidural test dose
17349,gastric ulcer haemorrhage
17350,refusal of examination
17351,hiv tropism identified
17352,eye pruritus
17353,thyroid c-cell hyperplasia
17354,white blood cell count abnormal
17355,uterine cervical erosion
17356,metastases to rectum
17357,botulism
17358,anticoagulation drug level therapeutic
17359,colpocele
17360,infected varicose vein
17361,malignant neoplasm of unknown primary site
17362,dysphemia
17363,pelvic adhesions
17365,pancreatic carcinoma metastatic
17366,liver iron concentration increased
17367,insulin-like growth factor increased
17368,apolipoprotein a-i decreased
17369,phrenic nerve paralysis
17370,localised intraabdominal fluid collection
17371,application site dryness
17372,blood culture positive
17373,disease recurrence
17374,pleural fibrosis
17375,gastroenteritis norwalk virus
17376,dependence on enabling machine or device
17377,malignant mesenchymoma
17378,full blood count decreased
17379,moebius ii syndrome
17380,actinomyces test positive
17381,gambling disorder
17382,acute haemolytic transfusion reaction
17383,pancreatitis chronic
17384,cervix carcinoma stage ii
17385,ulnocarpal abutment syndrome
17386,postmortem blood drug level abnormal
17387,upper extremity mass
17388,large intestinal ulcer
17389,urinary cystectomy
17390,thyroid hemiagenesis
17391,blood creatine
17392,bronchitis chemical
17393,seroconversion test positive
17394,venous thrombosis limb
17395,bleeding time abnormal
17396,blood alcohol abnormal
17397,erythematotelangiectatic rosacea
17398,nocturnal dyspnoea
17399,metastases to placenta
17400,anal tinea
17401,senile ankylosing vertebral hyperostosis
17402,tongue cancer metastatic
17403,calcium ionised increased
17404,ovulation induction
17405,arrhythmogenic right ventricular dysplasia
17406,renal pelvis fistula
17407,withdrawal of life support
17408,infective chondritis
17409,lipoedema
17410,enophthalmos
17411,stress polycythaemia
17412,heart rate normal
17413,amoebic dysentery
17414,optic nerve hypoplasia
17415,muscle haemorrhage
17416,scleroderma-like reaction
17417,medulloblastoma recurrent
17418,tinea pedis
17419,allergic respiratory disease
17420,tongue erythema
17421,morphoea
17422,application site discolouration
17423,artificial menopause
17424,post procedural sepsis
17425,toxic shock syndrome
17426,po2 abnormal
17427,neonatal hyponatraemia
17428,blood gastrin decreased
17429,liver function test decreased
17430,sebaceous hyperplasia
17431,injection site eczema
17432,glucose tolerance test abnormal
17433,rhonchi
17434,urticaria pigmentosa
17435,clonal evolution
17436,post-traumatic epilepsy
17437,pseudocirrhosis
17438,splenosis
17439,medical device entrapment
17440,intussusception
17441,apnoea test
17442,urine alcohol test positive
17443,coronary vascular graft stenosis
17444,encephalitis japanese b
17445,fallopian tube enlargement
17446,blood cobalt increased
17447,blood pyruvic acid increased
17448,subchondral insufficiency fracture
17449,testicular atrophy
17450,catarrh
17451,exercise tolerance decreased
17452,forced vital capacity decreased
17453,cyst drainage
17454,psoriasis area severity index decreased
17455,semen discolouration
17456,insulin-requiring type ii diabetes mellitus
17457,palatal swelling
17458,infusion site hypertrophy
17459,urine calcium/creatinine ratio increased
17460,methicillin-resistant staphylococcal aureus test negative
17461,medical device site ulcer
17462,escherichia test positive
17463,post abortion haemorrhage
17464,blood testosterone decreased
17465,administration site hypertrichosis
17466,urethral papilloma
17467,administration site hypersensitivity
17468,schizoaffective disorder
17469,steatohepatitis
17470,weight loss diet
17471,neoplasm growth accelerated
17472,pyelocaliectasis
17473,capillary fragility decreased
17474,gallbladder adenocarcinoma
17475,familial cold autoinflammatory syndrome
17476,fibromyalgia
17477,superior vena caval occlusion
17478,trigeminal nerve ablation
17479,sex chromosome abnormality
17480,sulcus vocalis
17481,gastric dysplasia
17482,dihydrotestosterone decreased
17483,respiratory tract infection bacterial
17484,electrocardiogram qt corrected interval shortened
17485,epiduritis
17486,comminuted fracture
17487,rib fracture
17488,acquired diaphragmatic eventration
17489,liver carcinoma ruptured
17490,vaginal examination abnormal
17491,analgesic drug level decreased
17492,tic
17493,antabuse implant
17494,therapeutic agent toxicity
17495,metastases to mouth
17496,secretory adenoma of pituitary
17497,citrate transporter deficiency
17498,chorioretinitis
17499,thalamotomy
17500,neuralgia
17501,bladder tamponade
17502,primary headache associated with sexual activity
17503,fibrous histiocytoma
17504,dental care
17505,food aversion
17506,testicular malignant teratoma
17507,jc polyomavirus test
17508,cachexia
17509,eyeball avulsion
17510,hepatitis a antibody positive
17512,alveolitis fibrosing
17514,electric injury
17515,nail bed tenderness
17516,beta globulin
17517,intermittent positive pressure breathing
17518,laevocardia
17519,myxoedema coma
17520,infusion site nerve damage
17521,angiogenesis biomarker
17522,ureteric repair
17523,pelvic pain
17524,bladder instillation procedure
17525,hypokeratosis
17526,autoimmune uveitis
17527,thyroglobulin decreased
17529,transmission of an infectious agent via product
17530,neonatal cardiac failure
17531,bronchial disorder
17532,oesophageal stent insertion
17533,rectal discharge
17534,sympathetic nerve injury
17535,face and mouth x-ray abnormal
17536,pulmonary malformation
17537,orthopaedic procedure
17538,breast cyst drainage
17539,priapism
17540,japan coma scale abnormal
17541,blood selenium abnormal
17542,mesenteric artery stenosis
17543,nipple exudate bloody
17544,adrenocortical insufficiency acute
17545,administration site hypertrophy
17546,congenital pseudarthrosis
17547,uraemic pruritus
17548,prevertebral soft tissue swelling of cervical space
17549,bronchiectasis
17550,pyothorax
17551,complement factor c2 increased
17552,eccrine carcinoma
17553,epiglottidectomy
17554,herpes zoster necrotising retinopathy
17555,adenomyosis
17556,procedural site reaction
17557,glaucoma drainage device placement
17558,immune tolerance induction
17559,delivery outside health facility
17560,biopsy spinal cord
17561,cri du chat syndrome
17562,bronchial cyst
17563,flat feet
17564,myoglobin blood decreased
17565,shift to the left
17566,flavobacterium test positive
17567,paralysis
17568,capillary fragility abnormal
17569,fat embolism
17570,infected bite
17571,breast prosthesis removal
17572,hypergammaglobulinaemia
17573,nasal candidiasis
17574,pharyngoesophageal diverticulum
17575,beta globulin increased
17576,bronchial artery embolisation
17577,spondyloarthropathy
17578,jejunal gangrene
17579,stomach discomfort
17580,tri-iodothyronine free increased
17581,anaemia heinz body
17582,traumatic arthropathy
17583,sapovirus test positive
17584,menopausal disorder
17585,stenosis of vesicourethral anastomosis
17586,polyomavirus interstitial nephritis
17587,hypothermia
17588,angioneurotic oedema
17589,basal cell naevus syndrome
17590,laryngeal cancer stage iii
17591,hepatic vein embolism
17592,stool reducing substances increased
17593,thalassaemia trait
17594,laboratory test abnormal
17595,nerve block
17596,application site bruising
17597,genital burning sensation
17598,aeromonas test positive
17599,perinatal stroke
17600,atrial hypertrophy
17601,blood hiv rna below assay limit
17602,enzyme level test
17603,oesophageal lesion excision
17604,haemorrhage
17605,lamin a/c gene mutation
17606,red blood cell elliptocytes present
17607,oral mucosal eruption
17608,pulmonary function test
17609,anticoagulation drug level abnormal
17610,chest wall haematoma
17611,hiv infection
17612,removal of inert matter from skin or subcutaneous tissue
17613,breast dysplasia
17615,chest wall pain
17616,congenital choroid plexus cyst
17617,myocarditis mycotic
17618,immune reconstitution inflammatory syndrome associated tuberculosis
17619,tinea capitis
17620,scoliosis surgery
17621,pancreas islet cell transplant
17622,vulvovaginal swelling
17623,carpal tunnel decompression
17624,cryoglobulins present
17625,cutaneous coccidioidomycosis
17626,moyamoya disease
17627,papule
17628,breast cancer metastatic
17629,5-alpha-reductase deficiency
17630,encephalitic infection
17631,job change
17632,genitourinary tract neoplasm
17633,pseudomyopia
17634,transaminases abnormal
17635,intra-abdominal pressure increased
17636,prothrombin time ratio abnormal
17637,infusion site atrophy
17638,endometrial hypoplasia
17639,artificial crown procedure
17640,joint warmth
17641,duodenal operation
17642,death of friend
17643,demyelination
17644,congenital inguinal hernia
17645,metabolic encephalopathy
17646,oesophageal disorder
17647,hyperkaliuria
17648,oesophageal ulcer
17649,dental prosthesis user
17650,vascular resistance pulmonary
17651,secondary aldosteronism
17652,vascular skin disorder
17653,pachygyria
17654,antitussive therapy
17655,gastric tube reconstruction
17656,humoral immune defect
17657,serous retinal detachment
17658,meconium increased
17659,congenital aortic stenosis
17660,thrombin time shortened
17661,paranasal sinus benign neoplasm
17662,gallbladder cancer stage iv
17663,streptococcus test
17664,eye infection fungal
17665,nasal turbinate hypertrophy
17666,abortion induced complicated
17667,joint surgery
17668,triple vessel bypass graft
17669,cerebral arteriovenous malformation haemorrhagic
17670,metastasis
17671,injection site inflammation
17672,anticipatory anxiety
17673,vena cava injury
17674,meningoencephalitis amoebic
17675,overlap syndrome
17677,numb chin syndrome
17678,atrial enlargement
17679,oestrogen replacement therapy
17680,gastric banding
17681,blood alkaline phosphatase abnormal
17682,porencephaly
17683,paraneoplastic neurological syndrome
17684,bile duct stent removal
17686,blood alcohol increased
17687,ideas of reference
17688,local anaesthesia
17690,critical illness
17691,ultrasound antenatal screen abnormal
17692,nervous system neoplasm surgery
17693,antineutrophil cytoplasmic antibody negative
17694,pleurocutaneous fistula
17695,hypoglobulinaemia
17696,t-lymphocyte count decreased
17697,nasopharyngeal surgery
17698,congenital intestinal obstruction
17699,social (pragmatic) communication disorder
17700,drug implant rejection
17701,proctitis herpes
17702,treatment related secondary malignancy
17703,diabetes mellitus management
17704,pharyngeal lesion
17705,ventricular hypoplasia
17706,cardiomyopathy alcoholic
17707,bacterial sepsis
17708,ventricular dyssynchrony
17709,cerebral artery stenosis
17710,abdominal infection
17711,catheter site papule
17712,rhizolysis
17713,brachiocephalic vein occlusion
17714,corneal neovascularisation
17715,chondropathy
17716,medical device site necrosis
17717,impulse-control disorder
17718,office visit
17719,caecectomy
17720,tumour compression
17721,splenic granuloma
17722,vaccination failure
17723,micturition urgency
17724,antisocial personality disorder
17725,autonomic nervous system imbalance
17726,gastroenteritis sapovirus
17727,product supply issue
17728,extra-osseous ewing's sarcoma
17729,habitual abortion
17730,composite lymphoma
17731,blood glucose increased
17732,thyroglossal cyst infection
17733,otitis media
17734,labyrinthine fistula
17735,gallstone ileus
17736,retrosternal fluid evacuation
17737,tri-iodothyronine increased
17738,articular disc disorder
17739,device failure
17740,flavivirus infection
17741,hair metal test
17742,nasal septum deviation
17743,medical device site fibrosis
17744,conjunctivochalasis
17745,bullous lung disease
17746,terminal agitation
17747,subgaleal haematoma
17748,application site injury
17749,hepatic fibrosis marker increased
17750,dawn phenomenon
17751,occupational dermatitis
17752,upper respiratory fungal infection
17753,epinephrine decreased
17754,embolism
17755,iud migration
17756,iliac artery perforation
17757,vith nerve paralysis
17758,osteitis condensans
17759,bladder adenocarcinoma stage i
17760,herpes zoster disseminated
17761,pco2
17762,hiv antibody positive
17763,weight loss poor
17764,seidel test positive
17765,pulpitis dental
17766,tendon pain
17767,respiratory complication associated with device
17768,blood parathyroid hormone decreased
17769,blood pyruvic acid decreased
17770,underdose
17771,dermographism
17772,carbohydrate tolerance increased
17773,eye operation
17774,pharyngeal haematoma
17775,bronchitis haemophilus
17776,drug metabolising enzyme test abnormal
17777,ammonia increased
17778,malabsorption from injection site
17779,drug name confusion
17780,gastrointestinal wall thinning
17781,puncture site pain
17782,dry socket
17783,cystogram abnormal
17784,inner ear infarction
17785,biopsy larynx
17786,posterior fossa syndrome
17787,oesophageal infection
17788,acquired haemophilia
17789,trigeminal palsy
17790,umbilical cord cyst
17791,red blood cell abnormality
17792,brow presentation
17793,blood creatine phosphokinase mb abnormal
17795,tumour exudation
17796,blood aldosterone increased
17797,cardiac function test
17798,venous pressure abnormal
17799,urethral stricture post infection
17800,congenital brain damage
17801,vascular graft
17802,cutaneous somatic symptom disorder
17803,mucosal discolouration
17804,brow ptosis
17805,oesophageal injury
17806,splenic necrosis
17807,biopsy peripheral nerve
17808,pericarditis rheumatic
17809,nephrosclerosis
17810,hair disorder
17811,irregular sleep wake rhythm disorder
17812,scleral cyst
17813,pterygium colli
17814,lipiduria
17815,albumin globulin ratio
17816,fixed bowel loop
17817,hyperkalaemia
17818,optic nerve cup/disc ratio increased
17819,tongue fungal infection
17820,gastrointestinal angiectasia
17821,drug withdrawal maintenance therapy
17822,amaurosis
17823,lip injury
17824,ankle arthroplasty
17825,missed labour
17826,removal of internal fixation
17827,renal salt-wasting syndrome
17828,breast malformation
17829,genotype drug resistance test positive
17830,wound infection bacterial
17831,diaphragmatic aplasia
17832,adenosquamous cell lung cancer stage ii
17833,poliovirus test positive
17834,transplant dysfunction
17835,ventilation/perfusion scan
17836,toxic nodular goitre
17837,viral titre increased
17838,radiation fibrosis
17839,sputum abnormal
17840,angiotensin ii increased
17841,foetal renal impairment
17842,vulval operation
17843,cognitive deterioration
17844,arterial insufficiency
17845,biochemical pregnancy
17846,polycythaemia neonatorum
17847,pulmonary resection
17848,japanese spotted fever
17849,anorectal swelling
17850,polyglandular autoimmune syndrome type iii
17851,bone marrow leukaemic cell infiltration
17852,concomitant disease aggravated
17853,septo-optic dysplasia
17854,reversible airways obstruction
17855,neuritic plaques
17856,adenosquamous cell lung cancer stage iv
17857,pancreatolithiasis
17858,neuroblastoma recurrent
17859,stress ulcer
17860,congenital tracheomalacia
17861,inclusion body myositis
17862,central nervous system infection
17863,abdominal strangulated hernia
17864,upper respiratory tract congestion
17865,physical thyroid examination abnormal
17866,complement deficiency disease
17867,right-to-left cardiac shunt
17868,dermatitis artefacta
17869,non-small cell lung cancer stage iiia
17870,non-small cell lung cancer stage iiib
17871,visual field tests abnormal
17872,embedded device
17873,blood erythropoietin decreased
17874,pharyngeal disorder
17875,cestode infection
17876,multiple organ transplant rejection
17877,localised exfoliation
17878,accessory auricle
17879,benign lymph node neoplasm
17880,chemical injury
17881,trichorhinophalangeal syndrome
17882,congenital eyelid malformation
17883,thrombin-antithrombin iii complex abnormal
17884,exophthalmos congenital
17885,caffeine consumption
17886,antibody test abnormal
17887,intestinal fistula
17888,mosaicism
17889,factor xi deficiency
17890,plasma cell mastitis
17891,herpes simplex dna test positive
17892,testicular disorder
17893,atrioventricular septal defect
17894,vomiting projectile
17895,haemostasis
17896,lumbar spine flattening
17897,cervical spasm
17898,urinary bladder sarcoma
17899,brain natriuretic peptide increased
17900,infusion site discharge
17901,congenital cerebral cyst
17902,chronic kidney disease-mineral and bone disorder
17903,pancreatic enzymes increased
17904,abdomen crushing
17905,behavioral addiction
17906,intra-uterine contraceptive device removal
17907,lung cyst benign
17908,perseveration
17909,mental retardation
17910,prostatic perforation
17911,myxoedema
17912,lacrimal structure injury
17913,maple syrup disease
17914,cardiovascular function test
17915,cataract
17916,phaeochromocytoma crisis
17918,amylase increased
17919,haemophilia
17920,lymphocyte stimulation test negative
17921,hepatic hypertrophy
17922,body temperature fluctuation
17923,pancreatic stent placement
17924,benzodiazepine drug level increased
17925,anorexia nervosa
17926,posthaemorrhagic hydrocephalus
17927,urea renal clearance decreased
17929,gastric fibrosis
17930,liver transplant
17931,type ii hyperlipidaemia
17932,ear infection bacterial
17933,thyroxine free increased
17934,electrophoresis abnormal
17935,ichthyosis
17936,keratoconus
17937,vaginal inflammation
17938,oesophageal perforation
17939,sinusitis noninfective
17940,sialometaplasia
17941,splenic hamartoma
17942,candiduria
17943,meconium peritonitis
17944,nucleated red cells
17946,feeding tube complication
17947,mesenteric occlusion
17948,uterine contractions abnormal
17949,wrong technique in device usage process
17950,bronchitis acute
17951,retrognathia
17952,mite allergy
17953,ultrasound liver abnormal
17954,schistosomiasis
17955,thrombophlebitis superficial
17956,lymphatic mapping
17957,sclerectomy
17958,circulatory failure neonatal
17959,arterial switch operation
17960,skin flap necrosis
17961,interventricular septum rupture
17962,clostridium difficile infection
17963,greenstick fracture
17964,blood urea decreased
17965,initial insomnia
17966,natural killer cell count
17967,aortic aneurysm repair
17968,seminal vesicle abscess
17969,colon cancer
17970,adnexitis
17971,linitis plastica
17973,agnosia
17974,house dust allergy
17975,gingival infection
17976,closed globe injury
17977,abdominal tenderness
17978,grand mal convulsion
17979,retinal coloboma
17980,congenital torticollis
17981,cardiomyopathy neonatal
17982,silent myocardial infarction
17983,pancreatic sphincterectomy
17984,ocular hyperaemia
17985,extrasystoles
17986,periorbital fat atrophy
17987,medical device site induration
17988,skin hypoplasia
17989,hiv infection cdc group iii
17990,hypnotherapy
17991,cervical vertebra injury
17992,wrong strength
17993,shunt thrombosis
17994,model for end stage liver disease score abnormal
17995,cerebrospinal fluid rhinorrhoea
17996,pulmonary radiation injury
17997,peutz-jeghers syndrome
17998,foot amputation
17999,ageusia
18000,inferiority complex
18001,pubis fracture
18002,meniscus cyst
18003,microsporum infection
18004,cytotoxic cardiomyopathy
18005,osteosarcoma
18006,coxiella test positive
18007,lower gastrointestinal haemorrhage
18008,renal artery occlusion
18009,stoma care
18010,peritoneal carcinoma
18011,respiratory tract haemorrhage neonatal
18012,primary mediastinal large b-cell lymphoma stage iv
18013,hyperpyrexia
18014,diabetic macroangiopathy
18015,byssinosis
18016,neutropenic sepsis
18017,thrombocytopenia neonatal
18018,chronic lymphocytic leukaemia refractory
18019,allergy to immunoglobulin therapy
18020,electrocardiogram st-t change
18021,systemic lupus erythematosus
18022,skin nodule
18023,radioisotope scan abnormal
18024,bile duct cancer stage 0
18025,emphysematous pyelonephritis
18026,osteomalacia
18027,colon cancer metastatic
18028,oesophagitis haemorrhagic
18029,treponema test
18030,anterior interosseous syndrome
18031,nasal septal operation
18032,hyperkinesia neonatal
18033,pulmonary contusion
18034,therapeutic response delayed
18035,eye inflammation
18036,residual urine volume decreased
18037,cupulolithiasis
18038,oesophageal adenocarcinoma recurrent
18039,congenital pigmentation disorder
18040,shunt stenosis
18041,dedifferentiated liposarcoma
18042,uraemic encephalopathy
18043,birth mark
18044,ovarian failure postoperative
18045,blau syndrome
18046,pudendal nerve terminal motor latency test abnormal
18047,adenocarcinoma of salivary gland
18048,coagulation time abnormal
18049,macrophages increased
18050,passenger lymphocyte syndrome
18051,osmophobia
18052,asteatosis
18053,endometrial cancer stage ii
18054,paroxysmal sympathetic hyperactivity
18055,ureterectomy
18056,urine aluminium
18057,fractional flow reserve
18058,instillation site hyperaesthesia
18059,parainfluenzae virus infection
18060,viral diarrhoea
18061,venous oxygen partial pressure increased
18062,skin chapped
18063,decerebrate posture
18064,enterocolitis helminthic
18065,central nervous system neoplasm
18066,ear tube removal
18067,portal vein flow decreased
18068,brain malformation
18069,cholecystostomy
18070,eye naevus
18071,congenital pulmonary valve disorder
18072,therapeutic hypothermia
18073,amputation revision
18074,infusion site erythema
18075,hydrocalyx
18076,scrotal ulcer
18077,orthopedic procedure
18078,breast discharge infected
18079,carcinoid tumour of the small bowel
18080,salmonella bacteraemia
18081,extra-osseous ewing^s sarcoma
18082,pneumonia acinetobacter
18083,antidepressant drug level
18084,penile erythema
18085,administration site phlebitis
18086,analgesic drug level above therapeutic
18087,procedural hypertension
18088,aural polyp
18090,breath alcohol test negative
18091,anorectal stenosis
18092,injection site sclerosis
18093,acquired macrocephaly
18094,infusion site hypertrichosis
18095,extensive interdialytic weight gain
18096,blood uric acid decreased
18097,activated partial thromboplastin time prolonged
18098,coagulation factor mutation
18099,apical granuloma
18100,unwanted awareness during anaesthesia
18101,allergic sinusitis
18102,eosinophil morphology abnormal
18103,aniridia
18104,intestinal ulcer perforation
18105,insulin tolerance test
18106,x-ray of pelvis and hip abnormal
18107,diabetic dyslipidaemia
18108,thyroxin binding globulin increased
18109,anticonvulsant drug level increased
18110,synovial cyst removal
18111,autism spectrum disorder
18112,benign tumour excision
18113,laxative supportive care
18114,procalcitonin increased
18115,dwarfism
18116,vascular resistance pulmonary decreased
18117,nuclear magnetic resonance imaging
18118,optic nerve disorder
18119,asbestosis
18120,oral mucosal disorder
18121,inguinal hernia repair
18122,isosthenuria
18123,blood glucose normal
18124,pseudoachalasia
18125,renal lesion excision
18126,bed rest
18127,benign gastric neoplasm
18128,hypopharyngeal neoplasm
18130,arterial thrombosis
18131,parvovirus b19 test
18132,bursal fluid accumulation
18134,chiropractic
18135,streptococcal serology positive
18136,osteomyelitis viral
18137,electrocardiogram j wave abnormal
18138,malignant mesenteric neoplasm
18139,lacrimal atrophy
18140,maternal exposure timing unspecified
18141,cerebral vasodilatation
18142,iris exfoliation
18143,biopsy parathyroid gland abnormal
18144,brain sarcoma
18145,metabolic syndrome
18146,piloerection
18147,cutaneous vasculitis
18148,carotid pulse abnormal
18149,corneoconjunctival intraepithelial neoplasia
18150,weight
18151,radiation exposure during pregnancy
18152,paracentesis eye
18153,palatal palsy
18154,eyelid function disorder
18155,malignant nervous system neoplasm
18156,adrenal haematoma
18157,oral dysaesthesia
18158,rhinotracheitis
18159,arteriovenous malformation
18160,abdominal wall abscess
18161,breast angiosarcoma
18162,bladder adenocarcinoma stage iii
18163,coma hepatic
18164,electrodesiccation
18165,band neutrophil percentage decreased
18166,anterior chamber crystallisation
18167,multiple chemical sensitivity
18168,malabsorption from administration site
18169,white blood cell morphology abnormal
18170,epiploic appendagitis
18171,breast cellulitis
18172,fissure of tongue
18173,liver iron concentration abnormal
18174,myxoid liposarcoma
18177,ureaplasma infection
18178,splenic cyst
18179,blood zinc abnormal
18181,enterocele
18182,pulmonary hypoplasia
18183,ankle reconstruction
18184,pneumothorax
18185,haemorrhage coronary artery
18186,ectopic pregnancy termination
18187,congenital hip deformity
18188,rectosigmoid cancer stage iv
18189,erythrosis
18190,catecholamines urine increased
18191,oral candidiasis
18192,trisomy 14
18193,citrobacter bacteraemia
18194,trisomy 17
18195,trisomy 11
18196,colectomy
18197,trisomy 13
18198,bacterial labyrinthitis
18199,trisomy 18
18200,device capturing issue
18201,blister
18202,palliative care
18203,keratoacanthoma
18204,human metapneumovirus test positive
18205,congenital genitourinary abnormality
18206,lenticular pigmentation
18207,bilirubin urine present
18208,csf oligoclonal band absent
18209,alpha 1 globulin increased
18210,creatinine urine decreased
18211,malignant neoplasm of seminal vesicle
18212,bronchial haemorrhage
18213,olfactory test abnormal
18214,renal cyst
18215,abortion missed
18216,closed head injury
18218,disease susceptibility
18219,mucocutaneous flap operation
18220,growth accelerated
18222,helicobacter duodenitis
18223,thrombin-antithrombin iii complex increased
18224,acral overgrowth
18225,febrile neutropenia
18226,decreased ventricular afterload
18227,breast necrosis
18229,splenic calcification
18230,meningococcal infection
18231,kyphoscoliosis
18232,metamyelocyte count
18233,asthma exacerbation prophylaxis
18234,glucose tolerance decreased
18235,counterfeit product administered
18236,urogenital atrophy
18237,vital signs measurement
18238,vitreous cyst
18239,hepatic vein dilatation
18240,phospholipidosis
18241,erythropenia
18242,congenital hydrocephalus
18243,adrenal cortex dysplasia
18244,mucosal pain
18245,pregnancy with implant contraceptive
18246,moderate mental retardation
18247,expanded disability status scale score increased
18248,mycobacterial disease carrier
18249,ovarian haemorrhage
18250,skin graft
18251,blood hyposmosis
18252,gastroenteritis caliciviral
18253,rhinitis atrophic
18254,periorbital infection
18256,vascular endothelial growth factor assay
18257,change in sustained attention
18258,diabetic gangrene
18259,headache
18260,campylobacter infection
18261,arthritis viral
18262,parvovirus infection
18263,mechanical ileus
18264,iridoschisis
18265,eosinophilic leukaemia
18266,soft tissue disorder
18267,phimosis
18268,diffuse alopecia
18269,citrobacter infection
18270,neurological examination
18271,hepatic artery aneurysm
18272,oesophageal prosthesis insertion
18273,removal of foreign body from throat
18274,rheumatoid factor positive
18275,somatic symptom disorder
18276,drug clearance increased
18277,hypercementosis
18278,anti-erythrocyte antibody positive
18279,duodenitis haemorrhagic
18280,small intestinal ulcer haemorrhage
18281,thyroid mass
18282,alpha 2 globulin
18283,small intestine polyp
18284,cardiac clearance
18285,binocular eye movement disorder
18286,meningitis staphylococcal
18287,b-cell unclassifiable lymphoma low grade
18288,oesophagitis ulcerative
18289,limb reduction defect
18290,uterine cervix atrophy
18291,drug screen
18292,platelet disorder
18293,neuromuscular block prolonged
18294,chronic graft versus host disease
18295,wound healing normal
18296,sleep walking
18297,mucosal hypertrophy
18298,blood type incompatibility
18299,eyelid haematoma
18300,fructosamine increased
18302,malignant neoplasm of eyelid
18303,exposure to mould
18304,rectal adenoma
18305,respiratory moniliasis
18306,axillary lymphadenectomy
18307,globulin
18308,hypocapnia
18309,oesophageal fistula repair
18310,haemophilic arthropathy
18311,coronary arterial stent insertion
18312,hypobarism
18313,blood pressure diastolic increased
18314,hepatic infection bacterial
18315,cellulitis streptococcal
18316,anterior chamber disorder
18317,product expiration date issue
18318,premature recovery from anaesthesia
18319,pleural fluid analysis
18320,surgical procedure repeated
18321,paracentesis abdomen abnormal
18322,vascular stent infection
18323,gynaecological examination
18324,administration site bruise
18325,x-ray gastrointestinal tract
18326,blood ethanol
18328,cervicogenic vertigo
18329,pneumonectomy
18330,oesophagogastrectomy
18331,peritoneal haemorrhage
18332,meconium cyst
18333,hepatitis b virus test positive
18334,red blood cell agglutination
18335,stenosis
18336,renal granular cell carcinoma
18337,metastases to adrenals
18338,application site joint inflammation
18339,malignant sweat gland neoplasm
18340,ectopic thyroid
18341,fallopian tube operation
18342,oropharyngeal spasm
18343,lochial infection
18344,medical device site abscess
18345,congenital hydronephrosis
18346,engraftment syndrome
18347,keratoconjunctivitis sicca
18348,c-reactive protein normal
18349,encephalitis brain stem
18350,intrinsic factor deficiency
18351,oesophagogastroduodenoscopy
18352,labia enlarged
18353,pulmonary valve replacement
18354,weight decrease neonatal
18355,urine amino acid level abnormal
18356,colonic obstruction
18357,victim of child abuse
18358,penile abscess
18359,facial lesion excision
18360,psychosomatic disease
18361,air embolism
18362,metastases to peripheral vascular system
18363,evacuation of retained products of conception
18364,complement factor c3 decreased
18365,vertigo labyrinthine
18366,arrhythmia
18367,foreign body embolism
18368,amnestic disorder
18369,lumbar vertebral fracture
18370,proctocolectomy
18371,tongue movement disturbance
18372,pulmonary valve disease
